ENSMUSG00000105693	Gm43706
ENSMUSG00000104474	Gm38210
ENSMUSG00000111797	RP23-356D13.6
ENSMUSG00000111339	00R_Pgap2
ENSMUSG00000112613	RP23-271E15.5
ENSMUSG00000110010	Gm45629
ENSMUSG00000101582	Gm28828
ENSMUSG00000104123	Gm37483
ENSMUSG00000111652	RP24-251M20.1
ENSMUSG00000101273	Gm28831
ENSMUSG00000081148	Gm11891
ENSMUSG00000101508	Gm28832
ENSMUSG00000103247	Gm38091
ENSMUSG00000100838	Gm29094
ENSMUSG00000105868	Gm43766
ENSMUSG00000083563	Gm13340
ENSMUSG00000099618	Gm28118
ENSMUSG00000082884	Gm13339
ENSMUSG00000084993	Gm12305
ENSMUSG00000080046	Gm15108
ENSMUSG00000100956	Gm28558
ENSMUSG00000085673	Gm16122
ENSMUSG00000082266	Gm12303
ENSMUSG00000106497	Gm43195
ENSMUSG00000090387	Gm17056
ENSMUSG00000105453	Gm43702
ENSMUSG00000107240	Gm43231
ENSMUSG00000103959	Gm37720
ENSMUSG00000105431	Gm42640
ENSMUSG00000105079	Gm43715
ENSMUSG00000105940	Gm42635
ENSMUSG00000103098	Gm37559
ENSMUSG00000105049	Gm42486
ENSMUSG00000106517	Gm42634
ENSMUSG00000103416	Gm37338
ENSMUSG00000105050	Gm42482
ENSMUSG00000100451	Gm29665
ENSMUSG00000104527	Gm37332
ENSMUSG00000090246	Gm17017
ENSMUSG00000103324	Gm37402
ENSMUSG00000111084	RP23-139G11.1
ENSMUSG00000106905	Gm42741
ENSMUSG00000107042	Gm42740
ENSMUSG00000107922	Gm44285
ENSMUSG00000085734	Gm11684
ENSMUSG00000107604	Gm44041
ENSMUSG00000082638	Gm12815
ENSMUSG00000104871	Gm42639
ENSMUSG00000084326	Gm12820
ENSMUSG00000104924	Gm43002
ENSMUSG00000105877	Gm42479
ENSMUSG00000106646	Gm42483
ENSMUSG00000104709	Gm42484
ENSMUSG00000105637	Gm42480
ENSMUSG00000104407	Gm38013
ENSMUSG00000104821	Gm42481
ENSMUSG00000107253	Gm43634
ENSMUSG00000106337	Gm42478
ENSMUSG00000107219	Gm42738
ENSMUSG00000106833	Gm42739
ENSMUSG00000102198	Gm38173
ENSMUSG00000104238	Gm37587
ENSMUSG00000107199	Gm42550
ENSMUSG00000110793	RP24-212B22.6
ENSMUSG00000107094	Gm43294
ENSMUSG00000110268	Gm45436
ENSMUSG00000085192	Gm12195
ENSMUSG00000100027	Gm28477
ENSMUSG00000097646	Gm26864
ENSMUSG00000112065	RP24-252O24.2
ENSMUSG00000106970	Gm43377
ENSMUSG00000107482	Gm45233
ENSMUSG00000085211	B430219N15Rik
ENSMUSG00000110950	RP24-221A9.1
ENSMUSG00000100906	Gm29238
ENSMUSG00000108618	Gm44816
ENSMUSG00000100942	Gm28560
ENSMUSG00000100333	Gm28561
ENSMUSG00000103612	Gm37948
ENSMUSG00000111509	RP24-401C17.6
ENSMUSG00000100126	Gm29584
ENSMUSG00000112113	RP23-299H4.4
ENSMUSG00000106123	Gm42638
ENSMUSG00000112905	RP23-134L22.1
ENSMUSG00000111910	RP24-296A15.4
ENSMUSG00000108777	Gm45081
ENSMUSG00000100928	Gm28487
ENSMUSG00000083264	Gm11461
ENSMUSG00000090151	Gm16043
ENSMUSG00000100284	Gm29239
ENSMUSG00000087351	Gm11464
ENSMUSG00000108698	Gm44964
ENSMUSG00000100685	Gm28610
ENSMUSG00000100986	Gm21741
ENSMUSG00000087114	Gm16099
ENSMUSG00000108703	Gm44793
ENSMUSG00000102580	Gm37442
ENSMUSG00000102294	Gm37544
ENSMUSG00000087425	Gm15404
ENSMUSG00000085629	Gm11697
ENSMUSG00000098122	Gm27039
ENSMUSG00000084985	Gm16135
ENSMUSG00000102867	Gm37635
ENSMUSG00000100671	Gm28322
ENSMUSG00000101242	Gm28319
ENSMUSG00000099924	Gm28320
ENSMUSG00000105466	Gm42998
ENSMUSG00000107405	Gm44115
ENSMUSG00000081910	Gm15986
ENSMUSG00000110412	Gm45559
ENSMUSG00000102951	Gm37216
ENSMUSG00000080947	Gm12779
ENSMUSG00000110071	Gm45512
ENSMUSG00000111820	RP23-101D11.3
ENSMUSG00000111027	RP23-203P12.5
ENSMUSG00000102483	Gm7068
ENSMUSG00000086669	AA645442
ENSMUSG00000111361	RP24-511J14.2
ENSMUSG00000102147	Gm38055
ENSMUSG00000091283	Gm17234
ENSMUSG00000111176	RP23-128A23.3
ENSMUSG00000103701	Gm10728
ENSMUSG00000102786	Gm38252
ENSMUSG00000103784	Gm37526
ENSMUSG00000103484	Gm38000
ENSMUSG00000102732	Gm37342
ENSMUSG00000102539	Gm37229
ENSMUSG00000102423	Gm37465
ENSMUSG00000102620	Gm37675
ENSMUSG00000110160	Gm45560
ENSMUSG00000110343	Gm45751
ENSMUSG00000106946	Gm42856
ENSMUSG00000105528	Gm43519
ENSMUSG00000112724	RP23-114N21.1
ENSMUSG00000108431	Gm44963
ENSMUSG00000105356	Gm42603
ENSMUSG00000112475	RP23-13J14.1
ENSMUSG00000111102	RP23-395M5.5
ENSMUSG00000112177	RP23-13J14.2
ENSMUSG00000101657	Gm20864
ENSMUSG00000086586	Gm11192
ENSMUSG00000099695	Gm28488
ENSMUSG00000100718	Gm21717
ENSMUSG00000081533	Gm15111
ENSMUSG00000089796	Gm16575
ENSMUSG00000106310	Gm43523
ENSMUSG00000100407	Gm28472
ENSMUSG00000082009	Gm12954
ENSMUSG00000111043	RP23-128A23.2
ENSMUSG00000105107	Gm43412
ENSMUSG00000110459	Gm45882
