probeId	geneId
1415935_at	ENSMUSG00000023886
1415936_at	ENSMUSG00000028121
1415937_s_at	ENSMUSG00000032504
1415938_at	ENSMUSG00000024503
1415939_at	ENSMUSG00000041559
1415940_at	ENSMUSG00000053581
1415941_s_at	ENSMUSG00000053581
1415942_at	ENSMUSG00000008682
1415942_at	ENSMUSG00000058443
1415943_at	ENSMUSG00000020592
1415944_at	ENSMUSG00000020592
1415945_at	ENSMUSG00000005410
1415946_at	ENSMUSG00000025728
1415947_at	ENSMUSG00000040713
1415948_at	ENSMUSG00000040713
1415949_at	ENSMUSG00000037852
1415950_a_at	ENSMUSG00000032959
1415951_at	ENSMUSG00000001555
1415952_at	ENSMUSG00000024969
1415953_s_at	ENSMUSG00000024969
1415954_at	ENSMUSG00000036938
1415954_at	ENSMUSG00000054106
1415955_x_at	ENSMUSG00000022501
1415956_a_at	ENSMUSG00000031065
1415957_a_at	ENSMUSG00000061032
1415958_at	ENSMUSG00000018566
1415959_at	ENSMUSG00000018566
1415960_at	ENSMUSG00000009350
1415961_at	ENSMUSG00000026223
1415962_at	ENSMUSG00000022312
1415963_at	ENSMUSG00000045427
1415964_at	ENSMUSG00000037071
1415965_at	ENSMUSG00000037071
1415966_a_at	ENSMUSG00000037916
1415967_at	ENSMUSG00000037916
1415968_a_at	ENSMUSG00000032758
1415969_s_at	ENSMUSG00000032758
1415970_at	ENSMUSG00000014313
1415971_at	ENSMUSG00000069662
1415972_at	ENSMUSG00000069662
1415973_at	ENSMUSG00000069662
1415974_at	ENSMUSG00000035027
1415975_at	ENSMUSG00000008393
1415976_a_at	ENSMUSG00000008393
1415977_at	ENSMUSG00000019139
1415978_at	ENSMUSG00000062380
1415979_x_at	ENSMUSG00000054284
1415979_x_at	ENSMUSG00000043716
1415980_at	ENSMUSG00000062683
1415981_at	ENSMUSG00000008429
1415982_at	ENSMUSG00000008429
1415983_at	ENSMUSG00000021998
1415984_at	ENSMUSG00000062908
1415985_at	ENSMUSG00000033732
1415986_at	ENSMUSG00000000605
1415987_at	ENSMUSG00000034088
1415988_at	ENSMUSG00000034088
1415989_at	ENSMUSG00000027962
1415990_at	ENSMUSG00000021771
1415991_a_at	ENSMUSG00000063576
1415992_at	ENSMUSG00000028454
1415993_at	ENSMUSG00000022351
1415994_at	ENSMUSG00000025479
1415995_at	ENSMUSG00000027997
1415996_at	ENSMUSG00000038393
1415997_at	ENSMUSG00000038393
1415998_at	ENSMUSG00000020402
1415999_at	ENSMUSG00000040289
1416000_a_at	ENSMUSG00000048164
1416000_a_at	ENSMUSG00000028691
1416001_a_at	ENSMUSG00000031827
1416002_x_at	ENSMUSG00000031827
1416003_at	ENSMUSG00000037625
1416004_at	ENSMUSG00000018965
1416005_at	ENSMUSG00000021178
1416006_at	ENSMUSG00000027239
1416006_at	ENSMUSG00000040479
1416007_at	ENSMUSG00000023927
1416008_at	ENSMUSG00000023927
1416009_at	ENSMUSG00000032324
1416010_a_at	ENSMUSG00000024772
1416011_x_at	ENSMUSG00000024772
1416012_at	ENSMUSG00000024772
1416013_at	ENSMUSG00000003363
1416014_at	ENSMUSG00000058355
1416015_s_at	ENSMUSG00000058355
1416016_at	ENSMUSG00000037321
1416017_at	ENSMUSG00000030058
1416018_at	ENSMUSG00000029265
1416019_at	ENSMUSG00000029265
1416020_a_at	ENSMUSG00000006057
1416021_a_at	ENSMUSG00000027533
1416022_at	ENSMUSG00000027533
1416023_at	ENSMUSG00000028773
1416024_x_at	ENSMUSG00000001416
1416025_at	ENSMUSG00000033860
1416026_a_at	ENSMUSG00000063328
1416026_a_at	ENSMUSG00000072621
1416026_a_at	ENSMUSG00000038900
1416027_at	ENSMUSG00000021576
1416028_a_at	ENSMUSG00000020737
1416029_at	ENSMUSG00000037465
1416030_a_at	ENSMUSG00000029730
1416031_s_at	ENSMUSG00000029730
1416032_at	ENSMUSG00000034659
1416033_at	ENSMUSG00000034659
1416034_at	ENSMUSG00000047139
1416035_at	ENSMUSG00000021109
1416036_at	ENSMUSG00000032966
1416037_a_at	ENSMUSG00000034024
1416038_at	ENSMUSG00000001424
1416039_x_at	ENSMUSG00000028195
1416040_at	ENSMUSG00000024768
1416041_at	ENSMUSG00000019970
1416042_s_at	ENSMUSG00000028693
1416043_at	ENSMUSG00000028693
1416044_at	ENSMUSG00000002812
1416045_a_at	ENSMUSG00000000902
1416046_a_at	ENSMUSG00000019810
1416047_at	ENSMUSG00000019810
1416048_at	ENSMUSG00000028796
1416049_at	ENSMUSG00000024827
1416050_a_at	ENSMUSG00000037936
1416051_at	ENSMUSG00000024371
1416052_at	ENSMUSG00000031432
1416053_at	ENSMUSG00000034648
1416054_at	ENSMUSG00000012848
1416055_at	ENSMUSG00000074266
