probeId	geneId
ILMN_1213317	ENSMUSG00000060935
ILMN_1213321	ENSMUSG00000028115
ILMN_1213321	ENSMUSG00000068860
ILMN_1213322	ENSMUSG00000078671
ILMN_1213324	ENSMUSG00000052446
ILMN_1213331	ENSMUSG00000036333
ILMN_1213332	ENSMUSG00000076660
ILMN_1213332	ENSMUSG00000076658
ILMN_1213332	ENSMUSG00000076654
ILMN_1213333	ENSMUSG00000075703
ILMN_1213334	ENSMUSG00000059278
ILMN_1213337	ENSMUSG00000036699
ILMN_1213349	ENSMUSG00000036304
ILMN_1213351	ENSMUSG00000017204
ILMN_1213354	ENSMUSG00000037486
ILMN_1213355	ENSMUSG00000060699
ILMN_1213355	ENSMUSG00000091541
ILMN_1213359	ENSMUSG00000042688
ILMN_1213362	ENSMUSG00000030257
ILMN_1213364	ENSMUSG00000073676
ILMN_1213368	ENSMUSG00000059087
ILMN_1213371	ENSMUSG00000039904
ILMN_1213372	ENSMUSG00000044976
ILMN_1213374	ENSMUSG00000059742
ILMN_1213378	ENSMUSG00000016239
ILMN_1213382	ENSMUSG00000021327
ILMN_1213393	ENSMUSG00000063193
ILMN_1213404	ENSMUSG00000029754
ILMN_1213405	ENSMUSG00000048285
ILMN_1213408	ENSMUSG00000074394
ILMN_1213409	ENSMUSG00000059410
ILMN_1213414	ENSMUSG00000083374
ILMN_1213422	ENSMUSG00000003948
ILMN_1213426	ENSMUSG00000049339
ILMN_1213431	ENSMUSG00000076602
ILMN_1213437	ENSMUSG00000028483
ILMN_1213439	ENSMUSG00000038872
ILMN_1213441	ENSMUSG00000063762
ILMN_1213449	ENSMUSG00000032295
ILMN_1213454	ENSMUSG00000040464
ILMN_1213456	ENSMUSG00000021094
ILMN_1213457	ENSMUSG00000028136
ILMN_1213458	ENSMUSG00000058594
ILMN_1213461	ENSMUSG00000039904
ILMN_1213470	ENSMUSG00000042104
ILMN_1213471	ENSMUSG00000020532
ILMN_1213473	ENSMUSG00000059309
ILMN_1213474	ENSMUSG00000051159
ILMN_1213477	ENSMUSG00000062691
ILMN_1213479	ENSMUSG00000037106
ILMN_1213483	ENSMUSG00000032633
ILMN_1213493	ENSMUSG00000073600
ILMN_1213495	ENSMUSG00000038486
ILMN_1213497	ENSMUSG00000054199
ILMN_1213497	ENSMUSG00000078684
ILMN_1213498	ENSMUSG00000030257
ILMN_1213506	ENSMUSG00000038241
ILMN_1213519	ENSMUSG00000037410
ILMN_1213524	ENSMUSG00000005481
ILMN_1213531	ENSMUSG00000026457
ILMN_1213534	ENSMUSG00000003992
ILMN_1213535	ENSMUSG00000025453
ILMN_1213547	ENSMUSG00000042763
ILMN_1213549	ENSMUSG00000027938
ILMN_1213557	ENSMUSG00000025938
ILMN_1213564	ENSMUSG00000070844
ILMN_1213566	ENSMUSG00000026994
ILMN_1213567	ENSMUSG00000037475
ILMN_1213572	ENSMUSG00000046367
ILMN_1213573	ENSMUSG00000015488
ILMN_1213574	ENSMUSG00000045210
ILMN_1213579	ENSMUSG00000054031
ILMN_1213579	ENSMUSG00000069456
ILMN_1213587	ENSMUSG00000033389
ILMN_1213591	ENSMUSG00000054452
ILMN_1213596	ENSMUSG00000004707
ILMN_1213603	ENSMUSG00000028678
ILMN_1213604	ENSMUSG00000030220
ILMN_1213609	ENSMUSG00000038393
ILMN_1213615	ENSMUSG00000058396
ILMN_1213616	ENSMUSG00000065394
ILMN_1213616	ENSMUSG00000029730
ILMN_1213616	ENSMUSG00000065527
ILMN_1213616	ENSMUSG00000065514
ILMN_1213617	ENSMUSG00000017760
ILMN_1213618	ENSMUSG00000014668
ILMN_1213625	ENSMUSG00000019961
ILMN_1213627	ENSMUSG00000066151
ILMN_1213628	ENSMUSG00000034488
ILMN_1213632	ENSMUSG00000027513
ILMN_1213638	ENSMUSG00000026743
ILMN_1213645	ENSMUSG00000045165
ILMN_1213656	ENSMUSG00000075254
ILMN_1213657	ENSMUSG00000079805
ILMN_1213657	ENSMUSG00000079079
ILMN_1213657	ENSMUSG00000090271
ILMN_1213657	ENSMUSG00000090926
ILMN_1213657	ENSMUSG00000091660
ILMN_1213657	ENSMUSG00000079745
ILMN_1213657	ENSMUSG00000091830
ILMN_1213657	ENSMUSG00000078823
ILMN_1213657	ENSMUSG00000075340
ILMN_1213657	ENSMUSG00000092025
ILMN_1213657	ENSMUSG00000079806
ILMN_1213657	ENSMUSG00000079080
ILMN_1213657	ENSMUSG00000078824
ILMN_1213657	ENSMUSG00000092010
ILMN_1213657	ENSMUSG00000079820
ILMN_1213657	ENSMUSG00000079684
ILMN_1213657	ENSMUSG00000079196
ILMN_1213658	ENSMUSG00000042472
ILMN_1213661	ENSMUSG00000029119
ILMN_1213664	ENSMUSG00000076475
ILMN_1213672	ENSMUSG00000011958
ILMN_1213678	ENSMUSG00000022565
ILMN_1213680	ENSMUSG00000070737
ILMN_1213680	ENSMUSG00000042408
ILMN_1213681	ENSMUSG00000024442
ILMN_1213684	ENSMUSG00000010609
ILMN_1213688	ENSMUSG00000053007
ILMN_1213688	ENSMUSG00000090982
ILMN_1213692	ENSMUSG00000001120
ILMN_1213707	ENSMUSG00000034243
ILMN_1213707	ENSMUSG00000078096
ILMN_1213708	ENSMUSG00000029673
ILMN_1213711	ENSMUSG00000049299
ILMN_1213721	ENSMUSG00000039962
ILMN_1213725	ENSMUSG00000025817
ILMN_1213728	ENSMUSG00000022434
ILMN_1213734	ENSMUSG00000039233
ILMN_1213736	ENSMUSG00000092327
ILMN_1213736	ENSMUSG00000029659
ILMN_1213745	ENSMUSG00000021975
ILMN_1213746	ENSMUSG00000001158
ILMN_1213749	ENSMUSG00000042567
ILMN_1213750	ENSMUSG00000045657
ILMN_1213752	ENSMUSG00000093542
ILMN_1213753	ENSMUSG00000034354
ILMN_1213756	ENSMUSG00000022639
ILMN_1213763	ENSMUSG00000055214
ILMN_1213770	ENSMUSG00000049092
ILMN_1213772	ENSMUSG00000037730
ILMN_1213777	ENSMUSG00000021732
ILMN_1213779	ENSMUSG00000024773
ILMN_1213781	ENSMUSG00000072489
ILMN_1213781	ENSMUSG00000062328
ILMN_1213781	ENSMUSG00000064844
ILMN_1213781	ENSMUSG00000066475
ILMN_1213781	ENSMUSG00000066543
ILMN_1213781	ENSMUSG00000069392
ILMN_1213781	ENSMUSG00000081855
ILMN_1213781	ENSMUSG00000082035
